Artist and Title,Days,Pk,(x?),Total,Today
Ed Sheeran - Shape of You,949,1,(x4),10640249,4409
Camila Cabello - Havana,890,1,(x120),7444393,1168
Ed Sheeran - Perfect,949,1,(x2),6557326,2052
Billie Eilish - bad guy,313,1,(x66),5961348,15865
Post Malone - rockstar,750,1,(x8),5600858,737
Dua Lipa - New Rules,639,3,(x5),5396277,461
Luis Fonsi - Despacito,472,1,(x58),4976033,249
The Chainsmokers & Coldplay - Something Just Like This,949,7,,4956767,1366
"Calvin Harris, Dua Lipa - One Kiss",496,1,(x65),4740838,733
Lady Gaga & Bradley Cooper - Shallow,493,2,(x5),4725794,3825
Post Malone & Swae Lee - Sunflower,473,3,(x19),4677913,4818
Imagine Dragons - Thunder,782,10,,4528873,646
"Cardi B, Bad Bunny & J Balvin - I Like It",512,3,(x8),4520478,676
Shawn Mendes & Camila Cabello - Señorita,229,1,(x124),4451177,11197
Marshmello & Bastille - Happier,535,1,(x30),4361736,1452
Drake - God's Plan,472,1,(x35),4274784,459
"Ariana Grande - thank u, next",458,1,(x75),4273715,1779
Charlie Puth - Attention,664,5,,4092896,433
Imagine Dragons - Believer,942,15,,3931130,1783
Lil Nas X - Old Town Road,332,2,(x13),3911380,3913
Ed Sheeran & Justin Bieber - I Don't Care,271,1,(x19),3877715,5478
Maroon 5 - Girls Like You,597,3,(x11),3707762,1109
Lewis Capaldi - Someone You Loved,384,6,,3695306,11994
Halsey - Without Me,485,2,(x22),3564017,2278
"benny blanco, Halsey & Khalid - Eastside",566,3,(x4),3492108,1839
French Montana - Unforgettable,460,8,,3476592,331
Ariana Grande - 7 rings,382,1,(x21),3400977,3819
Travis Scott - SICKO MODE,539,5,,3205996,1403
ZAYN - Dusk Till Dawn,340,2,(x22),3189168,86
Tones and I - Dance Monkey,197,1,(x85),3180691,22595
Post Malone - Better Now,539,7,,3099556,858
Ava Max - Sweet but Psycho,442,4,,3073477,1213
Ariana Grande - No Tears Left to Cry,310,1,(x28),3002256,102
The Chainsmokers - Closer,948,25,,2964330,1774
Calvin Harris - Feels,303,3,(x14),2910483,10
DJ Khaled - Wild Thoughts,312,3,(x25),2887729,67
Post Malone - Wow.,384,4,,2874001,1110
Selena Gomez & Marshmello - Wolves,289,2,(x10),2854432,10
DJ Snake - Taki Taki,328,1,(x9),2831430,98
Taylor Swift - Look What You Made Me Do,305,1,(x47),2827748,231
"Zedd, Maren Morris & Grey - The Middle",359,3,(x4),2825600,130
Dua Lipa - IDGAF,310,5,,2773673,188
Marshmello - Silence,401,10,,2724925,134
Sam Smith & Normani - Dancing with a Stranger,388,4,,2698546,1680
Clean Bandit - Solo,263,2,(x6),2695416,53
Dynoro & Gigi d'Agostino - In My Mind,434,4,,2684172,463
Drake - In My Feelings,247,1,(x60),2629730,231
"Calvin Harris, Sam Smith - Promises",313,2,(x15),2614988,238
Jonas Brothers - Sucker,304,1,(x26),2605766,1117
J Balvin & Willy William - Mi Gente,312,7,,2558849,3
XXXTENTACION - Sad,385,1,(x2),2539860,295
Marshmello & Anne-Marie - FRIENDS,257,3,(x22),2512995,41
Post Malone - Psycho,389,3,(x6),2494206,274
Billie Eilish - when the party's over,469,5,,2356817,5321
Ed Sheeran - Beautiful People,222,3,(x1),2350592,3317
Maroon 5 - What Lovers Do,263,8,,2344693,121
Rudimental - These Days,287,9,,2311169,130
Billie Eilish - bury a friend,314,2,(x20),2289534,2854
Ed Sheeran - Galway Girl,371,17,,2267111,138
Post Malone - Circles,158,2,(x6),2265375,11748
Sam Smith - Too Good at Goodbyes,228,3,(x9),2261159,82
Anne-Marie - 2002,611,15,,2192084,1055
Jonas Blue - Rise,299,7,,2157321,78
Juice WRLD - Lucid Dreams,373,4,,2146405,1691
Mabel - Don't Call Me Up,351,7,,2127480,1232
Shawn Mendes - There's Nothing Holdin' Me Back,345,9,,2099057,24
George Ezra - Shotgun,522,25,,2094943,837
David Guetta - 2U,217,3,(x11),2056308,0
Loud Luxury - Body,548,29,,2027068,916
Dennis Lloyd - Nevermind,361,17,,2013537,285
Khalid - Young Dumb & Broke,359,24,,1961556,252
Bruno Mars - That’s What I Like,415,25,,1947050,143
Maroon 5 - Memories,138,4,,1935771,12825
Post Malone - Goodbyes,215,4,,1933732,2159
Daddy Yankee - Con Calma,358,12,,1923010,1086
Dean Lewis - Be Alright,379,16,,1915836,771
Justin Bieber & BloodPop® - Friends,226,2,(x7),1908378,0
DJ Khaled - I'm the One,249,5,,1876330,33
5 Seconds of Summer - Youngblood,395,28,,1866438,487
Panic! At the Disco - High Hopes,426,23,,1863896,785
Bad Bunny - MIA,314,4,,1860101,787
Charlie Puth - How Long,302,10,,1844118,10
Ariana Grande - God is a woman,213,2,(x18),1843740,44
Khalid - Talk,360,13,,1839253,1177
Drake - Nice For What,299,6,,1802607,161
Meduza - Piece Of Your Heart,244,9,,1793837,0
Zedd & Alessia Cara - Stay,411,20,,1791909,53
"Ariana Grande - break up with your girlfriend, i'm bored",188,1,(x21),1762977,201
XXXTENTACION - Moonlight,357,7,,1758904,289
Selena Gomez - Back to You,194,5,,1728113,31
Keala Settle & The Greatest Showman Ensemble - This Is Me,417,17,,1727743,145
Bruno Mars - Finesse,196,2,(x5),1709023,3
Dua Lipa - Don't Start Now,96,2,(x24),1696032,19735
Eminem - River,184,6,,1676752,71
Clean Bandit - Symphony,347,13,,1655868,49
Luis Fonsi & Demi Lovato - Échame La Culpa,281,19,,1646842,0
P!nk - What About Us,235,10,,1644223,20
"Kendrick Lamar, SZA - All The Stars",191,3,(x14),1634436,124
