artist,title,total streams
Ed Sheeran,Shape of You,10640249
Camila Cabello,Havana,7444393
Ed Sheeran,Perfect,6557326
Billie Eilish,bad guy,5961348
Post Malone,rockstar,5600858
Dua Lipa,New Rules,5396277
Luis Fonsi,Despacito,4976033
The Chainsmokers & Coldplay,Something Just Like This,4956767
"Calvin Harris, Dua Lipa",One Kiss,4740838
Lady Gaga & Bradley Cooper,Shallow,4725794
Post Malone & Swae Lee,Sunflower,4677913
Imagine Dragons,Thunder,4528873
"Cardi B, Bad Bunny & J Balvin",I Like It,4520478
Shawn Mendes & Camila Cabello,Señorita,4451177
Marshmello & Bastille,Happier,4361736
Drake,God's Plan,4274784
Ariana Grande,"thank u, next",4273715
Charlie Puth,Attention,4092896
Imagine Dragons,Believer,3931130
Lil Nas X,Old Town Road,3911380
Ed Sheeran & Justin Bieber,I Don't Care,3877715
Maroon 5,Girls Like You,3707762
Lewis Capaldi,Someone You Loved,3695306
Halsey,Without Me,3564017
"benny blanco, Halsey & Khalid",Eastside,3492108
French Montana,Unforgettable,3476592
Ariana Grande,7 rings,3400977
Travis Scott,SICKO MODE,3205996
ZAYN,Dusk Till Dawn,3189168
Tones and I,Dance Monkey,3180691
Post Malone,Better Now,3099556
Ava Max,Sweet but Psycho,3073477
Ariana Grande,No Tears Left to Cry,3002256
The Chainsmokers,Closer,2964330
Calvin Harris,Feels,2910483
DJ Khaled,Wild Thoughts,2887729
Post Malone,Wow.,2874001
Selena Gomez & Marshmello,Wolves,2854432
DJ Snake,Taki Taki,2831430
Taylor Swift,Look What You Made Me Do,2827748
"Zedd, Maren Morris & Grey",The Middle,2825600
Dua Lipa,IDGAF,2773673
Marshmello,Silence,2724925
Sam Smith & Normani,Dancing with a Stranger,2698546
Clean Bandit,Solo,2695416
Dynoro & Gigi d'Agostino,In My Mind,2684172
Drake,In My Feelings,2629730
"Calvin Harris, Sam Smith",Promises,2614988
Jonas Brothers,Sucker,2605766
J Balvin & Willy William,Mi Gente,2558849
XXXTENTACION,Sad,2539860
Marshmello & Anne-Marie,FRIENDS,2512995
Post Malone,Psycho,2494206
Billie Eilish,when the party's over,2356817
Ed Sheeran,Beautiful People,2350592
Maroon 5,What Lovers Do,2344693
Rudimental,These Days,2311169
Billie Eilish,bury a friend,2289534
Ed Sheeran,Galway Girl,2267111
Post Malone,Circles,2265375
Sam Smith,Too Good at Goodbyes,2261159
Anne-Marie,2002,2192084
Jonas Blue,Rise,2157321
Juice WRLD,Lucid Dreams,2146405
Mabel,Don't Call Me Up,2127480
Shawn Mendes,There's Nothing Holdin' Me Back,2099057
George Ezra,Shotgun,2094943
David Guetta,2U,2056308
Loud Luxury,Body,2027068
