decade,position,artist,song,indicativerevenue,us,uk,de,fr,ca,au
"2010s","1","Ed Sheeran","Shape Of You","36650.3353832966","1","1","1","1","1","1"
"2010s","2","Luis Fonsi & Daddy Yankee","Despacito","30100.1323188717","1","1","1","1","1","1"
"2010s","3","Ed Sheeran","Perfect","29602.0874936417","1","1","1","1","1","1"
"2010s","4","Lil Nas X & Billy Ray Cyrus","Old Town Road","24595.5435618092","1","1","1","1","1","1"
"2010s","5","Mark Ronson & Bruno Mars","Uptown Funk","24312.7787794407","1","1","3","1","1","1"
"2010s","6","Pharrell Williams","Happy","23926.4205847349","1","1","1","1","1","1"
"2010s","7","Camila Cabello & Young Thug","Havana","23173.487238461","1","1","2","2","1","1"
"2010s","8","Maroon 5 & Cardi B","Girls Like You","23001.6021438507","1","7","9","4","1","2"
"2010s","9","Adele","Rolling In The Deep","22662.0505175423","1","2","1","3","1","3"
"2010s","10","Post Malone & Swae Lee","Sunflower (Spider-Man: Into The Spider-Verse)","22527.2408954516","1","3","36","63","1","1"
"2010s","11","Billie Eilish","Bad Guy","22242.8922101989","1","2","4","5","1","1"
"2010s","12","LMFAO","Party Rock Anthem","21962.1856444654","1","1","1","1","1","1"
"2010s","13","Sia","Cheap Thrills","21774.1796937007","1","2","1","1","1","6"
"2010s","14","The Chainsmokers & Halsey","Closer","21432.6301645017","1","1","2","31","1","1"
"2010s","15","Justin Timberlake","Can't Stop The Feeling","21351.8605320896","1","2","1","1","1","3"
"2010s","16","Gotye & Kimbra","Somebody That I Used To Know","21117.6717903265","1","1","1","1","1","1"
"2010s","17","Post Malone & 21 Savage","Rockstar","20991.8966761964","1","1","2","8","1","1"
"2010s","18","Ed Sheeran","Thinking Out Loud","20971.3290798467","2","1","6","4","2","1"
"2010s","19","Marshmello & Bastille","Happier","20921.5021710552","2","2","9","24","2","3"
"2010s","20","Halsey","Without Me","20760.1655864285","1","3","11","39","2","2"
"2010s","21","John Legend","All Of Me","20677.8748731047","1","2","13","4","1","1"
"2010s","22","Lady Gaga & Bradley Cooper","Shallow","20626.1732905569","1","1","4","3","1","1"
"2010s","23","Panic! At the Disco","High Hopes","20296.9463227333","4","12","5","15","5","7"
"2010s","24","Imagine Dragons","Radioactive","19878.9909414336","3","12","4","28","5","6"
"2010s","25","Avicii","Wake Me Up","19715.000857477","4","1","1","1","2","1"
"2010s","26","Drake, WizKid & Kyla","One Dance","19598.8007252906","1","1","1","1","1","1"
"2010s","27","Justin Bieber","Love Yourself","19480.9284717861","1","1","3","4","1","1"
"2010s","28","Carly Rae Jepsen","Call Me Maybe","19145.0421034068","1","1","3","1","1","1"
"2010s","29","Drake","God's Plan","18936.1982443966","1","1","1","4","1","1"
"2010s","30","Robin Thicke, T.I. & Pharrell Williams","Blurred Lines","18805.4364010378","1","1","1","1","1","1"
"2010s","31","Major Lazer & DJ Snake","Lean On","18675.0330850226","4","2","4","2","3","1"
"2010s","32","OneRepublic","Counting Stars","18552.3096805321","2","1","3","7","1","2"
"2010s","33","Ava Max","Sweet But Psycho","18546.3980818908","10","1","1","8","11","2"
"2010s","34","Justin Bieber","Sorry","18530.562748113","1","1","3","4","1","2"
"2010s","35","The Chainsmokers & Daya","Don't Let Me Down","18495.55004302","3","2","6","19","4","3"
"2010s","36","Adele","Someone Like You","18346.1714233967","1","1","4","1","2","1"
"2010s","37","Lewis Capaldi","Someone You Loved","18274.2211194606","1","1","18","20","1","4"
"2010s","38","Post Malone","Better Now","17961.4143190618","3","6","11","54","3","2"
"2010s","39","Travi$ Scott","Sicko Mode","17961.3540138213","1","9","43","41","3","6"
"2010s","40","Cardi B, Bad Bunny & J Balvin","I Like It","17843.437028278","1","8","14","21","2","14"
"2010s","41","Sia","Chandelier","17829.1659600458","8","6","10","1","6","2"
"2010s","42","Hozier","Take Me To Church","17736.9550087869","2","2","2","2","2","2"
"2010s","43","Imagine Dragons","Thunder","17599.3367351831","4","20","2","20","4","2"
"2010s","44","OMI","Cheerleader","17433.8836080125","1","1","1","1","1","1"
"2010s","45","Benny Blanco, Halsey & Khalid","Eastside","17427.7474767272","9","1","15","97","6","2"
