decade,artist,title
2010s,Ed Sheeran,Shape Of You
2010s,Luis Fonsi & Daddy Yankee,Despacito
2010s,Ed Sheeran,Perfect
2010s,Lil Nas X & Billy Ray Cyrus,Old Town Road
2010s,Mark Ronson & Bruno Mars,Uptown Funk
2010s,Pharrell Williams,Happy
2010s,Camila Cabello & Young Thug,Havana
2010s,Maroon 5 & Cardi B,Girls Like You
2010s,Adele,Rolling In The Deep
2010s,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)
2010s,Billie Eilish,Bad Guy
2010s,LMFAO,Party Rock Anthem
2010s,Sia,Cheap Thrills
2010s,The Chainsmokers & Halsey,Closer
2010s,Justin Timberlake,Can't Stop The Feeling
2010s,Gotye & Kimbra,Somebody That I Used To Know
2010s,Post Malone & 21 Savage,Rockstar
2010s,Ed Sheeran,Thinking Out Loud
2010s,Marshmello & Bastille,Happier
2010s,Halsey,Without Me
2010s,John Legend,All Of Me
2010s,Lady Gaga & Bradley Cooper,Shallow
2010s,Panic! At the Disco,High Hopes
2010s,Imagine Dragons,Radioactive
2010s,Avicii,Wake Me Up
2010s,"Drake, WizKid & Kyla",One Dance
2010s,Justin Bieber,Love Yourself
2010s,Carly Rae Jepsen,Call Me Maybe
2010s,Drake,God's Plan
2010s,"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines
2010s,Major Lazer & DJ Snake,Lean On
2010s,OneRepublic,Counting Stars
2010s,Ava Max,Sweet But Psycho
2010s,Justin Bieber,Sorry
2010s,The Chainsmokers & Daya,Don't Let Me Down
2010s,Adele,Someone Like You
2010s,Lewis Capaldi,Someone You Loved
2010s,Post Malone,Better Now
2010s,Travi$ Scott,Sicko Mode
2010s,"Cardi B, Bad Bunny & J Balvin",I Like It
2010s,Sia,Chandelier
2010s,Hozier,Take Me To Church
2010s,Imagine Dragons,Thunder
2010s,OMI,Cheerleader
2010s,"Benny Blanco, Halsey & Khalid",Eastside
2010s,Maroon 5 & Christina Aguilera,Moves Like Jagger
2010s,Shawn Mendes & Camila Cabello,Senorita
2010s,French Montana & Swae Lee,Unforgettable
2010s,Meghan Trainor,All About That Bass
2010s,Twenty One Pilots,Stressed Out
2010s,The Chainsmokers & Coldplay,Something Just Like This
2010s,Wiz Khalifa & Charlie Puth,See You Again
2010s,Sam Smith,Stay With Me
2010s,Post Malone,Wow.
2010s,Rihanna & Calvin Harris,We Found Love
2010s,Jonas Brothers,Sucker
2010s,Macklemore & Ryan Lewis,Thrift Shop
2010s,Ed Sheeran & Justin Bieber,I Don't Care
2010s,Taylor Swift,Shake It Off
2010s,Dua Lipa,New Rules
2010s,Katy Perry,Dark Horse
2010s,Ariana Grande,7 Rings
2010s,Passenger,Let Her Go
2010s,Shawn Mendes,Stitches
2010s,"Pitbull, Ne-Yo, Afrojack & Nayer",Give Me Everything
2010s,The Weeknd,The Hills
2010s,"Portugal, The Man",Feel It Still
2010s,Adele,Hello
2010s,Imagine Dragons,Believer
2010s,The Weeknd & Daft Punk,Starboy
2010s,Daft Punk & Pharrell Williams,Get Lucky
2010s,Juice WRLD,Lucid Dreams (Forget Me)
2010s,Bruno Mars,That's What I Like
2010s,DJ Snake & Justin Bieber,Let Me Love You
2010s,Sam Smith & Normani,Dancing With A Stranger
2010s,Lukas Graham,Seven Years
2010s,Macklemore & Ryan Lewis,Can't Hold Us
2010s,Bebe Rexha & Florida Georgia Line,Meant To Be
2010s,Twenty One Pilots,Heathens
2010s,Justin Bieber,What Do You Mean?
2010s,Psy,Gangnam Style
2010s,Rihanna,Diamonds
2010s,James Arthur,Say You Won't Let Go
2010s,Mike Posner,I Took A Pill In Ibiza
2010s,The Weeknd,Can't Feel My Face
2010s,The Lumineers,Ho Hey
2010s,Khalid,Talk
2010s,LMFAO,Sexy And I Know It
2010s,Bruno Mars,Just The Way You Are (Amazing)
2010s,Adele,Set Fire To The Rain
2010s,Pitbull & Ke$ha,Timber
2010s,David Guetta & Sia,Titanium
2010s,Mariah Carey,All I Want For Christmas Is You
2010s,5 Seconds of Summer,Youngblood
2010s,Ellie Goulding,Love Me Like You Do
2010s,Rihanna & Calvin Harris,This Is What You Came For
2010s,Walk the Moon,Shut Up & Dance
2010s,Rihanna & Drake,Work
2010s,Jennifer Lopez & Pitbull,On The Floor
2010s,Bruno Mars,Locked Out Of Heaven
2010s,Bastille,Pompeii
2010s,Lizzo,Truth Hurts
2010s,Charlie Puth,Attention
2010s,Clean Bandit & Jess Glynne,Rather Be
2010s,"Clean Bandit, Sean Paul & Anne-Marie",Rockabye
2010s,Katy Perry,Roar
2010s,Post Malone & Ty Dolla Sign,Psycho
2010s,Calvin Harris & Dua Lipa,One Kiss
2010s,Bruno Mars,Grenade
2010s,Lorde,Royals
2010s,Fetty Wap,Trap Queen
2010s,"Zedd, Maren Morris & Grey",The Middle
2010s,Katy Perry,Firework
2010s,Taio Cruz,Dynamite
2010s,Rihanna & Eminem,Love The Way You Lie
2010s,Pink & Nate Ruess,Just Give Me A Reason
2010s,Bruno Mars,24K Magic
2010s,Ed Sheeran,Photograph
2010s,fun.,We Are Young
2010s,Desiigner,Panda
