Artist and Title,Days,Pk,(x?),Total,Today
Adele - Rolling In the Deep,1971,1,(x1),15248521,1466
Adele - Someone Like You,2172,1,(x51),14531063,1332
Pharrell Williams - Happy,2045,1,(x188),13159417,593
Adele - Set Fire To The Rain,1044,2,(x3),10575061,953
John Legend - All of Me,1966,2,(x1),10326996,1525
Gotye - Somebody That I Used to Know,943,1,(x51),10285766,718
Ed Sheeran - Shape of You,1125,1,(x110),9982325,1521
Ed Sheeran - Perfect,1069,1,(x62),9746173,3269
Rihanna - Diamonds,1427,1,(x14),9702383,1102
Ed Sheeran - Thinking Out Loud,1695,2,(x14),9349222,931
David Guetta & Sia - Titanium,871,1,(x6),9258273,589
Mark Ronson - Uptown Funk,1389,1,(x20),9148293,1246
Avicii - Wake Me Up,1028,1,(x17),8999113,722
PSY - Gangnam Style,1046,1,(x95),8997590,648
ADELE - Skyfall,1137,1,(x11),8936640,883
Maroon 5 - Moves Like Jagger,767,1,(x64),8596279,194
Daft Punk - Get Lucky,852,1,(x68),8504212,1127
Robin Thicke - Blurred Lines,994,1,(x37),8480398,150
Rihanna - We Found Love,691,1,(x76),7995683,464
Carly Rae Jepsen - Call Me Maybe,569,1,(x100),7981627,325
Katy Perry - Roar,934,1,(x55),7905442,957
Passenger - Let Her Go,932,6,,7898325,958
LMFAO - Party Rock Anthem,711,1,(x9),7835367,276
P!nk - Just Give Me a Reason,725,1,(x23),7818687,1047
Luis Fonsi - Despacito,757,1,(x103),7656718,507
Adele - Hello,1205,1,(x111),7624777,1398
Lady Gaga & Bradley Cooper - Shallow,496,1,(x154),7362668,7722
Wiz Khalifa - See You Again,1064,1,(x95),7291287,2845
Sia - Chandelier,1027,3,(x2),7266466,1013
Ellie Goulding - Love Me Like You Do,1123,1,(x53),7225377,1033
Justin Timberlake - CAN'T STOP THE FEELING,907,1,(x45),7036512,854
Fun. - We Are Young,566,1,(x22),7013801,596
Taylor Swift - Shake It Off,601,1,(x47),6950480,893
Bruno Mars - Locked Out of Heaven,611,3,(x8),6937883,550
Coldplay - Paradise,698,2,(x8),6880367,479
Michel Teló - Ai Se Eu Te Pego,465,1,(x21),6839467,403
Coldplay - A Sky Full of Stars,978,1,(x10),6623926,1390
Bruno Mars - Just the Way You Are,690,2,(x22),6560845,425
LMFAO - Sexy and I Know It,548,2,(x14),6464643,362
will.i.am - Scream & Shout,461,1,(x36),6374110,74
Shakira - Waka Waka,777,3,(x1),6338235,7024
Bruno Mars - When I Was Your Man,515,3,(x5),6034378,579
OneRepublic - Counting Stars,619,5,,6005747,237
Camila Cabello - Havana,698,1,(x73),5978512,585
Justin Bieber - Sorry,520,2,(x92),5919020,0
Imagine Dragons - Radioactive,690,12,,5914704,613
Pitbull - Give Me Everything,487,1,(x63),5860414,244
Alan Walker - Faded,982,1,(x17),5857649,535
Pitbull - Timber,390,1,(x21),5755758,541
Jennifer Lopez - On the Floor,480,1,(x53),5731740,3463
Imagine Dragons - Believer,1099,10,,5695304,1637
The Chainsmokers & Coldplay - Something Just Like This,713,2,(x59),5686418,718
Ed Sheeran - Photograph,1314,5,,5590488,902
Taylor Swift - Blank Space,509,1,(x38),5585819,580
Eminem - Love the Way You Lie,593,1,(x65),5566355,225
Katy Perry - Firework,710,2,(x18),5441920,218
Hozier - Take Me To Church,506,3,(x1),5434973,476
Rihanna - Stay,474,1,(x2),5407860,481
Katy Perry - Dark Horse,509,2,(x48),5354175,443
Maroon 5 - Payphone,429,2,(x27),5313531,218
Foster The People - Pumped Up Kicks,629,10,,5244977,432
Justin Bieber - Love Yourself,466,1,(x12),5210978,0
Rihanna - Only Girl,531,1,(x42),5195455,71
Imagine Dragons - Thunder,772,5,,5175326,545
P!nk - Try,486,5,,5108194,405
Billie Eilish - bad guy,313,1,(x16),5052439,18035
Macklemore & Ryan Lewis - Can't Hold Us,433,4,,5034668,617
Sam Smith - Stay With Me,500,4,,5028326,0
Macklemore & Ryan Lewis - Thrift Shop,441,1,(x3),4978600,249
Major Lazer - Lean On,429,1,(x21),4964596,108
Imagine Dragons - Demons,609,11,,4898403,505
Christina Perri - A Thousand Years,1019,23,,4895615,1373
