artist,title,views,current avg/day
Adele,Rolling In the Deep,15248521,N/A
Adele,Someone Like You,14531063,N/A
Pharrell Williams,Happy,13159417,N/A
Adele,Set Fire To The Rain,10575061,N/A
John Legend,All of Me,10326996,N/A
Gotye,Somebody That I Used to Know,10285766,N/A
Ed Sheeran,Shape of You,9982325,N/A
Ed Sheeran,Perfect,9746173,N/A
Rihanna,Diamonds,9702383,N/A
Ed Sheeran,Thinking Out Loud,9349222,N/A
David Guetta & Sia,Titanium,9258273,N/A
Mark Ronson,Uptown Funk,9148293,N/A
Avicii,Wake Me Up,8999113,N/A
PSY,Gangnam Style,8997590,N/A
ADELE,Skyfall,8936640,N/A
Maroon 5,Moves Like Jagger,8596279,N/A
Daft Punk,Get Lucky,8504212,N/A
Robin Thicke,Blurred Lines,8480398,N/A
Rihanna,We Found Love,7995683,N/A
Carly Rae Jepsen,Call Me Maybe,7981627,N/A
Katy Perry,Roar,7905442,N/A
Passenger,Let Her Go,7898325,N/A
LMFAO,Party Rock Anthem,7835367,N/A
P!nk,Just Give Me a Reason,7818687,N/A
Luis Fonsi,Despacito,7656718,N/A
Adele,Hello,7624777,N/A
Lady Gaga & Bradley Cooper,Shallow,7362668,N/A
Wiz Khalifa,See You Again,7291287,N/A
Sia,Chandelier,7266466,N/A
Ellie Goulding,Love Me Like You Do,7225377,N/A
Justin Timberlake,CAN'T STOP THE FEELING,7036512,N/A
Fun.,We Are Young,7013801,N/A
Taylor Swift,Shake It Off,6950480,N/A
Bruno Mars,Locked Out of Heaven,6937883,N/A
Coldplay,Paradise,6880367,N/A
Michel Teló,Ai Se Eu Te Pego,6839467,N/A
Coldplay,A Sky Full of Stars,6623926,N/A
Bruno Mars,Just the Way You Are,6560845,N/A
LMFAO,Sexy and I Know It,6464643,N/A
will.i.am,Scream & Shout,6374110,N/A
Shakira,Waka Waka,6338235,N/A
Bruno Mars,When I Was Your Man,6034378,N/A
OneRepublic,Counting Stars,6005747,N/A
Camila Cabello,Havana,5978512,N/A
Justin Bieber,Sorry,5919020,N/A
Imagine Dragons,Radioactive,5914704,N/A
Pitbull,Give Me Everything,5860414,N/A
Alan Walker,Faded,5857649,N/A
Pitbull,Timber,5755758,N/A
Jennifer Lopez,On the Floor,5731740,N/A
Imagine Dragons,Believer,5695304,N/A
The Chainsmokers & Coldplay,Something Just Like This,5686418,N/A
Ed Sheeran,Photograph,5590488,N/A
Taylor Swift,Blank Space,5585819,N/A
Eminem,Love the Way You Lie,5566355,N/A
Katy Perry,Firework,5441920,N/A
Hozier,Take Me To Church,5434973,N/A
Rihanna,Stay,5407860,N/A
Katy Perry,Dark Horse,5354175,N/A
Maroon 5,Payphone,5313531,N/A
Foster The People,Pumped Up Kicks,5244977,N/A
Justin Bieber,Love Yourself,5210978,N/A
Rihanna,Only Girl,5195455,N/A
Imagine Dragons,Thunder,5175326,N/A
P!nk,Try,5108194,N/A
Billie Eilish,bad guy,5052439,N/A
Macklemore & Ryan Lewis,Can't Hold Us,5034668,N/A
Sam Smith,Stay With Me,5028326,N/A
Macklemore & Ryan Lewis,Thrift Shop,4978600,N/A
Major Lazer,Lean On,4964596,N/A
Imagine Dragons,Demons,4898403,N/A
Christina Perri,A Thousand Years,4895615,N/A
Lorde,Royals,4862722,N/A
Justin Timberlake,Mirrors,4820819,N/A
Avicii,Hey Brother,4811691,N/A
David Guetta & Usher,Without You,4789604,N/A
The Chainsmokers,Closer,4758070,N/A
Maroon 5,One More Night,4738777,N/A
Pitbull,Feel This Moment,4700176,N/A
Sia,Cheap Thrills,4694128,N/A
Meghan Trainor,All About That Bass,4619411,N/A
Maroon 5,Girls Like You,4550817,N/A
Nicki Minaj,Starships,4544308,N/A
Flo Rida,Good Feeling,4523785,N/A
Clean Bandit,Rockabye,4519590,N/A
Omi,Cheerleader,4512827,N/A
Coldplay,Viva la Vida,4437260,N/A
Mariah Carey,All I Want for Christmas Is You,4397473,N/A
Eminem,The Monster,4379355,N/A
Lucenzo,Danza Kuduro,4370435,N/A
Miley Cyrus,Wrecking Ball,4368699,N/A
