Pos,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
1,Ed Sheeran - Shape of You,160,34.0,1,(x14),64217796,2397753371
2,Post Malone - rockstar,124,27.0,1,(x17),46995997,1797570391
3,The Chainsmokers - Closer,168,28.0,1,(x11),46300740,1628344338
4,Drake - One Dance,129,26.0,1,(x14),47782311,1555622901
5,Drake - God's Plan,97,21.0,1,(x11),54891573,1414559787
6,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,67,31.0,1,(x2),34579416,1309011864
7,Ed Sheeran - Perfect,151,15.0,4,,24763619,1308547205
8,Camila Cabello - Havana,114,25.0,1,(x1),33129706,1305095150
9,James Arthur - Say You Won't Let Go,174,15.0,7,,19297939,1295463634
10,Imagine Dragons - Believer,156,,16,,16864827,1254089676
11,Ed Sheeran - Thinking out Loud,235,22.0,1,(x2),12966533,1230229886
12,Shawn Mendes - Señorita,32,23.0,1,(x14),67237638,1185043099
13,XXXTENTACION - SAD!,100,12.0,1,(x2),38010231,1180380274
14,Imagine Dragons - Thunder,138,3.0,8,,21076623,1178953419
15,Dua Lipa - New Rules,104,23.0,2,(x3),26215788,1159764804
16,Ed Sheeran - Photograph,250,,15,,8088843,1158961724
17,Billie Eilish - bad guy,44,24.0,1,(x6),50342324,1147479900
18,Post Malone - Better Now,92,11.0,1,(x6),40788286,1128205041
19,The Chainsmokers - Something Just Like This,130,12.0,2,(x2),33173199,1117180229
20,Luis Fonsi - Despacito - Remix,64,19.0,1,(x14),54729818,1092396262
21,Marshmello - Happier,76,22.0,2,(x1),28685390,1087133734
22,Juice WRLD - Lucid Dreams,90,15.0,3,(x1),27389019,1082304140
23,Lil Uzi Vert - XO TOUR Llif3,111,2.0,10,,19373632,1030645895
24,Ariana Grande - 7 rings,54,16.0,1,(x10),71467874,1023586758
25,Maroon 5 - Girls Like You,87,14.0,2,(x1),29296811,1022693132
26,Lady Gaga - Shallow,70,12.0,3,(x2),31597226,1003988836
27,"Ariana Grande - thank u, next",65,17.0,1,(x8),59975503,1003590826
28,Tones and I - Dance Monkey,28,22.0,1,(x15),52055226,997113131
29,Post Malone - Congratulations,128,,20,,15632229,990710095
30,XXXTENTACION - Jocelyn Flores,126,2.0,7,,25442646,985805325
31,Kendrick Lamar - HUMBLE.,95,12.0,1,(x1),41269524,985684392
32,Justin Bieber - Love Yourself,108,22.0,1,(x3),28218558,967608716
33,The Weeknd - Starboy,84,21.0,1,(x6),35360281,952641510
34,Justin Bieber - Sorry,92,21.0,1,(x8),34283993,945730140
35,The Chainsmokers - Don't Let Me Down,93,22.0,3,(x2),20867984,937382310
36,Lewis Capaldi - Someone You Loved,56,15.0,4,,24962682,931999539
37,Travis Scott - SICKO MODE,78,20.0,2,(x1),33399542,929023880
