artist,title,views,decade
Ed Sheeran,Shape of You,64217796,2013-2020
Post Malone,rockstar,46995997,2013-2020
The Chainsmokers,Closer,46300740,2013-2020
Drake,One Dance,47782311,2013-2020
Drake,God's Plan,54891573,2013-2020
Post Malone,Sunflower from Spider-Man: Into the Spider-Verse,34579416,2013-2020
Ed Sheeran,Perfect,24763619,2013-2020
Camila Cabello,Havana,33129706,2013-2020
James Arthur,Say You Won't Let Go,19297939,2013-2020
Imagine Dragons,Believer,16864827,2013-2020
Ed Sheeran,Thinking out Loud,12966533,2013-2020
Shawn Mendes,Señorita,67237638,2013-2020
XXXTENTACION,SAD!,38010231,2013-2020
Imagine Dragons,Thunder,21076623,2013-2020
Dua Lipa,New Rules,26215788,2013-2020
Ed Sheeran,Photograph,8088843,2013-2020
Billie Eilish,bad guy,50342324,2013-2020
Post Malone,Better Now,40788286,2013-2020
The Chainsmokers,Something Just Like This,33173199,2013-2020
Luis Fonsi,Despacito - Remix,54729818,2013-2020
Marshmello,Happier,28685390,2013-2020
Juice WRLD,Lucid Dreams,27389019,2013-2020
Lil Uzi Vert,XO TOUR Llif3,19373632,2013-2020
Ariana Grande,7 rings,71467874,2013-2020
Maroon 5,Girls Like You,29296811,2013-2020
Lady Gaga,Shallow,31597226,2013-2020
Ariana Grande,"thank u, next",59975503,2013-2020
Tones and I,Dance Monkey,52055226,2013-2020
Post Malone,Congratulations,15632229,2013-2020
XXXTENTACION,Jocelyn Flores,25442646,2013-2020
Kendrick Lamar,HUMBLE.,41269524,2013-2020
Justin Bieber,Love Yourself,28218558,2013-2020
The Weeknd,Starboy,35360281,2013-2020
Justin Bieber,Sorry,34283993,2013-2020
The Chainsmokers,Don't Let Me Down,20867984,2013-2020
Lewis Capaldi,Someone You Loved,24962682,2013-2020
Travis Scott,SICKO MODE,33399542,2013-2020
Halsey,Without Me,27576694,2013-2020
Major Lazer,Lean On,18924031,2013-2020
Post Malone,Psycho,45142484,2013-2020
Cardi B,I Like It,27369377,2013-2020
benny blanco,Eastside,24227312,2013-2020
DJ Snake,Taki Taki,40931264,2013-2020
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,23018299,2013-2020
Lauv,I Like Me Better,12704967,2013-2020
Ed Sheeran,I Don't Care,58370367,2013-2020
XXXTENTACION,Moonlight,27497557,2013-2020
French Montana,Unforgettable,25652839,2013-2020
Lil Nas X,Old Town Road - Remix,36616698,2013-2020
DJ Snake,Let Me Love You,32792765,2013-2020
5 Seconds of Summer,Youngblood,22841733,2013-2020
Calvin Harris,One Kiss,30380257,2013-2020
Drake,In My Feelings,67499798,2013-2020
Billie Eilish,lovely,14081242,2013-2020
Post Malone,Wow.,31165644,2013-2020
Major Lazer,Cold Water,39612302,2013-2020
Ava Max,Sweet but Psycho,22400542,2013-2020
Luis Fonsi,Despacito (Featuring Daddy Yankee),27082220,2013-2020
Sia,Cheap Thrills,22704478,2013-2020
Sam Smith,Too Good At Goodbyes,28527847,2013-2020
Justin Bieber,What Do You Mean?,29264063,2013-2020
Dua Lipa,IDGAF,23715748,2013-2020
Daddy Yankee,Con Calma,31111446,2013-2020
Panic! At The Disco,High Hopes,19643546,2013-2020
Post Malone,I Fall Apart,17129238,2013-2020
Zedd,The Middle,22125746,2013-2020
Bruno Mars,That's What I Like,23602385,2013-2020
Billie Eilish,when the party's over,22448428,2013-2020
Twenty One Pilots,Stressed Out,18271666,2013-2020
DJ Khaled,I'm the One,40519723,2013-2020
Shawn Mendes,Treat You Better,20386073,2013-2020
Marshmello,FRIENDS,25664581,2013-2020
Calvin Harris,This Is What You Came For,26378633,2013-2020
Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",24236034,2013-2020
J Balvin,Mi Gente,32361062,2013-2020
Alan Walker,Faded,17656352,2013-2020
John Legend,All of Me,6405273,2013-2020
Charlie Puth,Attention,22888447,2013-2020
Fifth Harmony,Work from Home,22851136,2013-2020
Dean Lewis,Be Alright,17708246,2013-2020
Lukas Graham,7 Years,21578772,2013-2020
Tyga,Taste,24591233,2013-2020
Travis Scott,goosebumps,7396104,2013-2020
Bebe Rexha,Meant to Be,14838238,2013-2020
Bad Bunny,MIA,39639615,2013-2020
Pedro Capó,Calma - Remix,23772814,2013-2020
Ariana Grande,no tears left to cry,38925971,2013-2020
ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),30694422,2013-2020
Marshmello,Silence,20339368,2013-2020
Dynoro,In My Mind,22288306,2013-2020
Clean Bandit,Rockabye,22798862,2013-2020
Queen,Bohemian Rhapsody - Remastered 2011,18440196,2013-2020
Adele,Hello,44785665,2013-2020
Kygo,It Ain't Me,31981993,2013-2020
Rihanna,Work,33662868,2013-2020
Maroon 5,What Lovers Do,23951075,2013-2020
Anne-Marie,2002,13698716,2013-2020
Shawn Mendes,Stitches,15301964,2013-2020
Danny Ocean,Me Rehúso,13515074,2013-2020
Jonas Brothers,Sucker,34629196,2013-2020
The Weeknd,Can't Feel My Face,19390352,2013-2020
Post Malone,Circles,43379405,2013-2020
Logic,1-800-273-8255,23662238,2013-2020
Twenty One Pilots,Heathens,26546200,2013-2020
Charlie Puth,We Don't Talk Anymore,18248508,2013-2020
Desiigner,Panda,24034197,2013-2020
Ed Sheeran,Beautiful People,36721702,2013-2020
Major Lazer,Light It Up,15684172,2013-2020
Khalid,Better,21831365,2013-2020
Sam Smith,Dancing With A Stranger,23144963,2013-2020
Shawn Mendes,There's Nothing Holdin' Me Back,22413521,2013-2020
Drake,Hotline Bling,20870154,2013-2020
Drake,Nice For What,41781391,2013-2020
Khalid,Young Dumb & Broke,15871063,2013-2020
Mark Ronson,Uptown Funk,15350322,2013-2020
Zedd,Stay,23118329,2013-2020
Selena Gomez,Wolves,24355051,2013-2020
Future,Mask Off,25847893,2013-2020
Martin Garrix,In the Name of Love,21797864,2013-2020
Nio Garcia,Te Boté - Remix,19829896,2013-2020
The Weeknd,I Feel It Coming,22658206,2013-2020
Billie Eilish,bury a friend,35408536,2013-2020
Sam Smith,Stay With Me,8537137,2013-2020
G-Eazy,"Me, Myself & I",17839641,2013-2020
Clean Bandit,Symphony,21433880,2013-2020
Jason Derulo,Swalla,21809411,2013-2020
BlocBoy JB,Look Alive,22486856,2013-2020
Zara Larsson,Lush Life,12272269,2013-2020
Post Malone,Goodbyes (Feat. Young Thug),37067320,2013-2020
DNCE,Cake By The Ocean,15222959,2013-2020
Clean Bandit,Solo,24095921,2013-2020
Hozier,Take Me To Church,13212580,2013-2020
Drake,Too Good,19402522,2013-2020
Anuel Aa,China,33436706,2013-2020
Ed Sheeran,Galway Girl,31063488,2013-2020
Hailee Steinfeld,Starving,16495002,2013-2020
The Weeknd,The Hills,14363491,2013-2020
Ariana Grande,Side To Side,20877291,2013-2020
Twenty One Pilots,Ride,15813811,2013-2020
Khalid,Location,11072906,2013-2020
Mariah Carey,All I Want for Christmas Is You,45828931,2013-2020
Julia Michaels,Issues,18886951,2013-2020
The Chainsmokers,Paris,28872070,2013-2020
Ed Sheeran,Castle on the Hill,35059860,2013-2020
Bruno Mars,24K Magic,20739017,2013-2020
Calvin Harris,Promises,23666223,2013-2020
Jack Ü,Where Are Ü Now,11738161,2013-2020
Bad Bunny,Callaita,22380052,2013-2020
Lil Tecca,Ransom,27574962,2013-2020
Axwell /\ Ingrosso,More Than You Know,16550135,2013-2020
Meek Mill,Going Bad,17883199,2013-2020
Demi Lovato,Sorry Not Sorry,19545702,2013-2020
Sia,Chandelier,8493093,2013-2020
XXXTENTACION,Fuck Love,16680157,2013-2020
DJ Khaled,Wild Thoughts,31981224,2013-2020
Lil Nas X,Old Town Road,30103989,2013-2020
Kendrick Lamar,All The Stars,31352011,2013-2020
Portugal. The Man,Feel It Still,14096574,2013-2020
XXXTENTACION,changes,23766098,2013-2020
Loud Luxury,Body,16136787,2013-2020
Jonas Blue,Fast Car,16501675,2013-2020
Liam Payne,Strip That Down,20399177,2013-2020
J. Cole,MIDDLE CHILD,33187464,2013-2020
NF,Let You Down,19989871,2013-2020
ZAYN,Dusk Till Dawn,22579858,2013-2020
ZAYN,PILLOWTALK,27477356,2013-2020
Rudimental,These Days,19683315,2013-2020
Martin Garrix,Scared to Be Lonely,22668956,2013-2020
Drake,Passionfruit,32507239,2013-2020
Maroon 5,Memories,31572344,2013-2020
Wiz Khalifa,See You Again,21852951,2013-2020
The Chainsmokers,Roses,14398355,2013-2020
Nicky Jam,X,25335647,2013-2020
Khalid,Love Lies,20042219,2013-2020
gnash,"i hate u, i love u",13840077,2013-2020
Ed Sheeran,Happier,23545568,2013-2020
Drake,Fake Love,18569220,2013-2020
Kodak Black,ZEZE,29095302,2013-2020
Lizzo,Truth Hurts,16286337,2013-2020
Bazzi,Mine,23681960,2013-2020
Offset,Ric Flair Drip (& Metro Boomin),10965630,2013-2020
Starley,Call On Me - Ryan Riback Extended Remix,16885441,2013-2020
Maluma,Felices los 4,17123191,2013-2020
Calvin Harris,Feels,23208440,2013-2020
Robin Schulz,Sugar,10750515,2013-2020
Y2K,Lalala,23833624,2013-2020
Maroon 5,Sugar,13080140,2013-2020
Luis Fonsi,Échame La Culpa,19056515,2013-2020
Jonas Blue,Mama,18912803,2013-2020
Maroon 5,Don't Wanna Know,21063863,2013-2020
Rihanna,Needed Me,13619575,2013-2020
Drake,Nonstop,43697135,2013-2020
Lil Baby,Drip Too Hard (Lil Baby & Gunna),16365307,2013-2020
Sam Smith,How Do You Sleep?,22140829,2013-2020
Clean Bandit,Rather Be,8491112,2013-2020
MEDUZA,Piece Of Your Heart,16900857,2013-2020
Shawn Mendes,If I Can't Have You,28103423,2013-2020
21 Savage,Bank Account,14030108,2013-2020
DJ Snake,Middle,14182166,2013-2020
Paulo Londra,Adan y Eva,17547601,2013-2020
Ariana Grande,"break up with your girlfriend, i'm bored",54707620,2013-2020
Jonas Blue,Perfect Strangers,17072020,2013-2020
Childish Gambino,Redbone,11798468,2013-2020
Sheck Wes,Mo Bamba,17459536,2013-2020
Hailee Steinfeld,Let Me Go,14630730,2013-2020
Calvin Harris,How Deep Is Your Love,13109875,2013-2020
