Video,Views,Current avg/day
Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),2414744056,855364
Justin Bieber - Baby ft. Ludacris (Official Music Video),2186677926,462625
Eminem - Love The Way You Lie ft. Rihanna,1929827416,456970
Adele - Rolling in the Deep,1643336825,287198
Bruno Mars - Just The Way You Are [Official Video],1437252370,403430
Eminem - Not Afraid (Official Video),1361270279,251500
Katy Perry - Firework (Official),1218679117,141636
Don Omar - Danza Kuduro ft. Lucenzo,1097220466,103174
a-ha - Take On Me (Official 4K Music Video),993236618,483606
Justin Bieber - Never Say Never ft. Jaden Smith (Official Music Video),923574497,140297
Bruno Mars - Grenade [Official Video],912697113,239231
Whitney Houston - I Will Always Love You,903275594,322265
"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwoʻole",834561979,348604
Rihanna - What's My Name? ft. Drake,796354651,131718
Rihanna - Only Girl (In The World),754367618,124561
The Police - Every Breath You Take,734126291,293171
Aqua - Barbie Girl,702539607,279848
"Enrique Iglesias, Juan Luis Guerra - Cuando Me Enamoro",661482631,117753
The Chipettes - Single Ladies (Official Music Video),605205715,187909
Shakira - Loca (Spanish Version) ft. El Cata,529098685,119702
Rihanna - Rude Boy,520677381,87237
B.o.B - Airplanes (feat. Hayley Williams of Paramore) [Official Video],517034962,113864
Katy Perry - California Gurls (Official) ft. Snoop Dogg,509084575,149580
Eminem - No Love (Explicit Version) ft. Lil Wayne,477550838,108465
Pablo Alborán - Solamente Tú (Videoclip Oficial),474576547,176719
Juan Gabriel - Así Fue (En Vivo [Desde el Instituto Nacional de Bellas Artes]),468558920,208771
The Black Eyed Peas - The Time (Dirty Bit) (Official Music Video),464721834,89160
Nelly - Just A Dream (Official Music Video),446933563,198509
CantaJuego - La Mane,432682700,215006
Eminem - The Real Slim Shady (Official Video - Clean Version),430217776,125296
Justin Bieber - Somebody To Love Remix ft. Usher (Official Music Video),425489190,75369
Waka Waka (Esto es Africa) (Cancion Oficial de la Copa Mundial de la FIFA� Sudafrica 2010),425362864,159762
Travie McCoy: Billionaire ft. Bruno Mars [OFFICIAL VIDEO],407097042,115016
Lady Gaga - Alejandro,378803330,65175
"Sean Kingston, Justin Bieber - Eenie Meenie (Video Version)",368298015,115217
Christina Perri - Jar of Hearts [Official Music Video],364434557,55976
Justin Bieber - Love Me (Official Music Video),353905208,86385
Alexandra Stan - Mr. Saxobeat (Official Video),343697833,22375
Lady Gaga - Telephone ft. Beyoncé,342371312,102665
"Enrique Iglesias - No Me Digas Que No ft. Wisin, Yandel",333578587,35202
Avril Lavigne - Complicated (Official Music Video),331370200,128481
Maroon 5 - Misery (Official Music Video),320892929,27118
Flo Rida - Club Can't Handle Me ft. David Guetta [Official Music Video] - Step Up 3D,319700405,112845
"Alejandro Sanz - ""Amiga Mia"" (Video Oficial)",319091489,115050
Ed Sheeran - The A Team [Official Video],317660794,73709
Alejandro Fernández - Me Dedique A Perderte,316584497,126454
Phil Collins - Another Day In Paradise (Official Music Video),313924946,145065
Camila - Aléjate De Mi,310821157,80274
I Just Had Sex (feat. Akon),309926474,24527
Michael Jackson - Smooth Criminal (Official Video),309656028,344659
Skrillex - Scary Monsters And Nice Sprites (Official Audio),308843060,24254
B.o.B - Nothin' On You (feat. Bruno Mars) [Official Video],308106851,101694
Wiz Khalifa - Black And Yellow [Official Music Video],300072662,36589
The Black Eyed Peas - Meet Me Halfway (Official Music Video),297639491,91008
David Guetta Feat. Kid Cudi - Memories (Official Video),293985882,130458
"Thalia, Pedro Capó - Estoy Enamorado",293981893,171098
Taylor Swift - Mine,292715310,28943
Jeremih - Down On Me ft. 50 Cent (Official Music Video),292422667,52543
Enrique Iglesias - I Like It,291068589,33585
Wisin & Yandel - Estoy Enamorado,290070859,53541
Elton John - Sacrifice,286675243,126162
Justin Bieber - Never Let You Go (Official Music Video),285404570,20008
Crazy Frog - Crazy Frog In The House (Official Video),283831093,634949
La La La I Love You - Gummibär - The Gummy Bear,281749473,113202
Diddy - Dirty Money - Coming Home ft. Skylar Grey (Official Video),277175940,63851
Santana - Maria Maria ft. The Product G&B (Official Video),276277552,113727
