artist,title,views,current avg/day
Wiz Khalifa,See You Again,4397043614,1650115
Justin Bieber,Sorry (PURPOSE : The Movement),3243988347,410945
Maroon 5,Sugar,3119723020,553938
Major Lazer & DJ Snake,Lean On,2729988532,521873
Alan Walker,Faded,2648683127,1051482
Adele,Hello,2616009732,369030
Ellie Goulding,Love Me Like You Do,2097802325,242273
Justin Bieber,What Do You Mean?,2069404541,220825
twenty one pilots,Stressed Out,1943655201,785038
Fifth Harmony,Worth It ft. Kid Ink,1798199072,243048
Silentó,Watch Me (Whip/Nae Nae),1707136319,264422
Drake,Hotline Bling,1590434114,286134
Justin Bieber,Love Yourself,1529482756,160454
The Weeknd,The Hills,1451198896,339187
Taylor Swift,Bad Blood,1340121681,164931
Calvin Harris & Disciples,How Deep Is Your Love,1335529652,184458
David Guetta,Hey Mama,1335125865,184245
Nicky Jam & Enrique Iglesias,El Perdón,1285288673,87533
Joey Montana,Picky,1250422340,58343
Gente de Zona,La Gozadera ft. Marc Anthony,1212981965,157598
Shawn Mendes,Stitches,1212267279,238756
Ricky Martin,La Mordidita ft. Yotuel,1158365921,91707
Skrillex and Diplo,"""Where Are Ü Now"" with Justin Bieber",1120355958,108547
Sia,Elastic Heart feat. Shia LaBeouf & Maddie Ziegler,1064402112,166744
The Weeknd,Can't Feel My Face,1054413579,233841
Coldplay,Adventure Of A Lifetime,1006897388,334463
OMI,Cheerleader (Felix Jaehn Remix),962630400,193053
Lukas Graham,7 Years,942335193,248505
twenty one pilots,Ride,940109760,478440
Maluma,Borro Cassette,914058223,113266
HA-ASH,Lo Aprendí de Ti,907474581,347959
Ed Sheeran,Photograph,897236881,421638
Ariana Grande,Focus,866590302,116761
Chino & Nacho,Me Voy Enamorando,848422622,218658
One Direction,Drag Me Down,832322640,152937
Cali Y El Dandee,Por Fin Te Encontré,815931980,79613
J. Balvin,Ginza,808883406,101285
Saad Lamjarred,LM3ALLEM,800001573,234932
Post Malone,White Iverson,777601223,293407
R. City,Locked Away,729304332,173059
Omarion,Post To Be,716623896,112321
Kygo,Firestone ft. Conrad Sewell,699695202,137532
Avicii,Waiting For Love,697676398,206469
Taylor Swift,Wildest Dreams,685185094,92617
Charlie Puth,One Call Away,666295481,172826
Zara Larsson,Lush Life,659801955,101662
La Adictiva Banda San José de Mesillas,"Después de Ti, ¿Quién?",659506857,201913
Little Mix,Black Magic,644811752,303090
Romeo Santos,Yo También ft. Marc Anthony,620189838,179176
Charlie Puth,Marvin Gaye ft. Meghan Trainor,617023240,87639
Meghan Trainor,Like I'm Gonna Lose You ft. John Legend,614520411,119993
Taylor Swift,Style,613770741,73726
Raymix,Oye Mujer,605552011,232188
BANDA MS,SOLO CON VERTE,602121840,114725
Disturbed,The Sound Of Silence,583881398,201343
Jessie J,Flashlight (from Pitch Perfect 2),573182648,128960
"Wisin, Carlos Vives",Nota de Amor,573029467,64362
The Weekend,Earned It (Fifty Shades Of Grey),558943612,173592
Daddy Yankee,Sígueme y Te Sigo,552467190,72588
BTS,DOPE(쩔어),546281015,171246
Palak Muchhal,PREM RATAN DHAN PAYO,539731588,520861
Maiara & Maraisa,Medo Bobo (Ao Vivo em Goiânia),532112079,90864
Meghan Trainor,Dear Future Husband,518836392,92963
Willy William,Ego,516505064,332805
Duke Dumont,Ocean Drive,516051453,146385
Adele,When We Were Young,511111727,103177
Marília Mendonça,Infiel,502983441,67299
Robin Schulz,Sugar,485683631,308763
เชือกวิเศษ,LABANOON「Official MV」,484945986,80709
Yandel,Encantadora,473292375,66251
Rachel Platten,Fight Song,471060675,111991
PSY,DADDY(feat. CL of 2NE1) M/V,469940630,209977
Justin Bieber,I'll Show You,459235618,63921
Desiigner,Panda,457774530,71173
Selena Gomez,Good For You,455578249,51753
Maiara & Maraisa,10% (Ao Vivo em Goiânia),454898216,30407
Henrique e Juliano,Flor E O Beija-Flor,454689152,86970
Nicky Jam,El Perdón,453969189,5145
Maître Gims,Sapés comme jamais,448441595,92087
Preto no Branco,Ninguém Explica Deus (Ao Vivo),447080923,253842
Zara Larsson, Never Forget You,444152127,63067
"Meet Bros Anjjan, Kanika Kapoor",Chittiyaan Kalaiyaan,437359304,284606
"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,437044250,57180
Plan B,Fanatica Sensual,434847837,72486
Pia Mia,Do It Again,432839670,79623
BIGBANG,BANG BANG BANG,428175389,127726
Maluma,Borro Cassette,426957989,3125
Dua Lipa,Be The One,421973610,223961
G-Eazy x Bebe Rexha,"Me, Myself & I",421754501,108199
One Direction,Perfect,410232497,66587
Jorge & Mateus,Sosseguei (Como Sempre Feito Nunca),408564390,44871
Sam Smith,Lay Me Down,408040064,63146
Juan Magan,He Llorado (Como Un Niño) ft. Gente De Zona,395328110,31082
Meek Mill Ft. Nicki Minaj & Chris Brown,All Eyes On You,395231138,95003
Jason Derulo,Want To Want Me,393309926,48009
Selena Gomez,Same Old Love,389926512,67482
Anitta,Bang,385615497,48313
Nicky Jam,Si Tu No Estas,383966875,45457
Yo Yo Honey Singh,Dheere Dheere,382268899,95076
OZUNA,CORAZON DE SEDA,382219723,26187
