artist,title,views,current avg/day
Crazy Frog,Axel F (Official Video),1987567891,1450471
The Gummy Bear Song,Long English Version,1902706013,1050719
Numb (Official Video),Linkin Park,1320912568,592632
Guns N' Roses,November Rain,1299209124,387077
Lady Gaga,Bad Romance (Official Music Video),1162653001,366699
Queen – Bohemian Rhapsody (Official Video Remastered),error,1098545215,492591
Guns N' Roses,Sweet Child O' Mine (Official Music Video),1047273755,303510
Taylor Swift,You Belong With Me,1026943373,244627
Nirvana,Smells Like Teen Spirit,1021715136,420279
The Cranberries,Zombie (Official Music Video),985752904,171044
Beyoncé,Halo,980306671,306538
Katy Perry,Hot N Cold (Official),944963579,124005
System Of A Down,Chop Suey!,931161635,200361
In The End (Official Video),Linkin Park,921411093,564953
50 Cent,In Da Club (Int'l Version) [Official Video],876863199,313947
Eminem,Without Me (Official Video),866490225,309561
Bon Jovi,It's My Life (Official Music Video),811336235,232083
Cyndi Lauper,Girls Just Want To Have Fun (Official Video),806395001,138684
Osito Gominola - Full Spanish Version - The Gummy Bear Song,error,779449167,764515
Eminem,When I'm Gone (Official Music Video),751952102,122818
Scorpions,Wind Of Change (Official Music Video),742997548,176898
Beyoncé,Single Ladies (Put a Ring on It) (Video Version),740793874,129736
Michael Jackson,Billie Jean (Official Video),740188051,380022
Backstreet Boys,I Want It That Way,728980524,310916
Shakira,Hips Don't Lie (Official Music Video) ft. Wyclef Jean,728721824,382112
Europe,The Final Countdown (Official Video),727673169,248236
Nelly,Dilemma ft. Kelly Rowland (Official Music Video),726516808,358010
No Doubt,Don't Speak (Official Music Video),724830982,126238
Miley Cyrus,Party In The U.S.A.,722287740,208893
Metallica: Nothing Else Matters (Official Music Video),error,711088055,523407
Evanescence,Bring Me To Life (Official Music Video),704682032,244821
Lady Gaga,Poker Face (Official Music Video),693149233,255974
Bonnie Tyler,Total Eclipse of the Heart (Video),671822155,199177
Michael Jackson,They Don’t Care About Us (Brazil Version) (Official Video),670760429,211466
Red Hot Chili Peppers,Californication [Official Music Video],654200759,304785
Bon Jovi,Livin' On A Prayer (Official Music Video),647089640,218443
Rick Astley,Never Gonna Give You Up (Video),646623129,283089
Michael Jackson,Thriller (Official Video),644305850,131406
Evanescence,My Immortal (Official Music Video),641927102,161044
Mariah Carey,All I Want For Christmas Is You (Official Music Video),632120239,28279
Audioslave,Like a Stone (Official Video),625751161,330904
Hoobastank,The Reason (Official Music Video),624540811,171787
Justin Bieber,One Time,619980572,95353
Coldplay,Viva La Vida,602902655,168380
Akon ft. Eminem,Smack That (Official Video),587765447,180050
Bon Jovi,Always (Official Music Video),577198528,205194
George Michael,Careless Whisper (Official Video),572786450,263945
Survivor,Eye Of The Tiger,566713240,189102
Guns N' Roses,Don't Cry,566157271,121525
3 Doors Down,Here Without You (Official Video),565738431,115880
Akon,Lonely (Offiical Video),556500786,154766
Queen,Don't Stop Me Now (Official Video),551043626,258812
Jason Mraz,I'm Yours (Official Video),539267413,168879
50 Cent,Candy Shop ft. Olivia (Official Video),538205888,180252
Rihanna,Umbrella (Orange Version) ft. JAY-Z,535237008,173086
The Verve,Bitter Sweet Symphony (Official Video),532932547,160351
Maroon 5,She Will Be Loved (Official Music Video),528527441,133545
MC Hammer,U Can't Touch This (Official Music Video),523809020,163517
Nuki Nuki (The Nuki Song) Full Version Gummy Bear,error,522116475,69776
Amy Winehouse,Back To Black,520593909,114490
Sean Kingston,Beautiful Girls (Official Music Video),519164948,199928
Carlos Baute,Colgando en tus manos (con Marta Sanchez),518997728,157229
Bee Gees,Stayin' Alive (Official Video),514280106,277865
Guns N' Roses,Paradise City,512548405,167145
The Black Eyed Peas,Where Is The Love? (Official Music Video),512264065,230764
Aerosmith,Crazy (Official Music Video),511903628,115841
Rihanna,Don't Stop The Music,507796164,109240
Wham!,Last Christmas (Official Video),503474247,27758
Taylor Swift,Love Story,503049103,92488
Ke$ha,TiK ToK (Official Music Video),501753612,115649
Shakira,"Whenever, Wherever (Video)",501064191,197945
Ricardo Arjona,Historia De Taxi (Video),498602536,230584
The Black Eyed Peas,My Humps (Official Music Video),492077139,145946
Avril Lavigne,Girlfriend (Official Music Video),489094890,71216
The Black Eyed Peas,Pump It (Official Music Video),485749448,140092
Shakira,La Tortura (Official Music Video) ft. Alejandro Sanz,484079767,205925
Rihanna,Take A Bow,478538005,96995
Culture Club,Karma Chameleon (Official Video),478077093,121742
Guns N' Roses,Patience,478024002,165167
Alicia Keys,No One (Official Music Video),477545560,174758
Toni Braxton,Un-Break My Heart (Official Music Video),475868561,128684
Eminem,Mockingbird (Official Music Video),475827902,129448
Akon,Right Now (Na Na Na) [Official Video],471966166,154781
Nelly Furtado,Say It Right (Official Music Video),469165019,191376
Britney Spears,...Baby One More Time,464645803,207187
Beyoncé,If I Were A Boy,464417282,102975
Beyoncé,Crazy In Love ft. JAY Z,462603159,147039
Roxette,It Must Have Been Love (Official Music Video),460737905,192936
Nickelback,How You Remind Me,458586380,108041
James Blunt,You're Beautiful (Video),454476749,293841
Extreme,More Than Words (Official Video),452750822,137697
Spice Girls,Wannabe,447702035,117427
Camila,Mientes (Video),445743261,61419
Eurythmics,Sweet Dreams (Are Made Of This) (Official Video),442593836,240542
The Pussycat Dolls,Buttons ft. Snoop Dogg (Official Music Video),441503139,178703
OutKast,Hey Ya! (Official Music Video),439212962,119352
What I've Done (Official Video),Linkin Park,437536235,130778
Je m'appelle Funny Bear - Full French Version - Gummy Bear Song,error,437439160,150771
Chris Brown,With You,433720712,94095
Modern Talking,"You're My Heart, You're My Soul (Official Music Video)",432183220,154083
The Black Eyed Peas,I Gotta Feeling (Official Music Video),430125303,143703
Britney Spears,Toxic (Official Music Video),429371956,162108
Soulja Boy Tell'em,Crank That (Soulja Boy) [Official Video],426271276,129667
"Dr. Dre ft. Snoop Dogg, Kurupt, Nate Dogg",The Next Episode (Official Video),421708475,134492
The Duck Song,error,416615428,108988
New Divide (Official Video),Linkin Park,414218207,135162
System Of A Down,Toxicity (Official Video),412864484,96743
Foo Fighters,The Pretender,410180750,90147
Edward Maya & Vika Jigulina,Stereo Love (Official Music Video),408732631,126897
Avril Lavigne,When You're Gone (Officia Music Video),407914778,66991
Mariah Carey,We Belong Together (Official Music Video),404901537,101372
Eminem,Beautiful (Official Music Video),403801731,22027
Abba,Dancing Queen (Official Video),402177370,140857
The Calling,Wherever You Will Go (Official Video),393332075,84613
Whitney Houston,I Have Nothing (Official Video),381435574,167691
Queen,Another One Bites the Dust (Official Video),380976483,201357
Queen,We Will Rock You (Official Video),377609092,200065
Rihanna,Unfaithful,374811704,48301
Miley Cyrus,The Climb (Official Music Video) (HQ),373250154,91419
Guns N' Roses,Welcome To The Jungle,370261070,131435
Thalia,Equivocada (Live Version),369782667,119375
Eminem,Like Toy Soldiers (Official Video),368327419,53671
Cyndi Lauper,Time After Time (Official Video),367410262,73353
Queen,I Want To Break Free (Official Video),366482402,221740
Al Final,Lilly Goodman,366445410,95401
Justin Bieber,One Less Lonely Girl (Official Music Video),361976007,39710
The Killers,Mr. Brightside (Official Music Video),361242449,115425
"Beyoncé, Shakira",Beautiful Liar,357731159,116003
Aventura,El Perdedor,356992246,63948
Enrique Iglesias,Hero,356799317,92897
Crazy Frog,We Are The Champions [Ding a Dang Dong] (Official Video),354269107,71490
Kelly Clarkson,Because Of You (Official Video),353964594,107696
Beyoncé,Irreplaceable,353497889,82466
50 Cent,"P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit",352538789,122553
"Eminem ft. 50 Cent, Cashis, Lloyd Banks",You Don't Know (Official Video),351342568,94391
The Black Eyed Peas,Boom Boom Pow (Official Music Video),350472594,70151
